country,country_code,indicator,indicator_code,year,value
Togo,TGO,GDP (current US$),NY.GDP.MKTP.CD,2025,11889949067.4697
Togo,TGO,GDP (current US$),NY.GDP.MKTP.CD,2024,10643440332.2445
Togo,TGO,GDP (current US$),NY.GDP.MKTP.CD,2023,9723300576.72675
Togo,TGO,GDP (current US$),NY.GDP.MKTP.CD,2022,8646453099.4124
Togo,TGO,GDP (current US$),NY.GDP.MKTP.CD,2021,8541668141.26198
Togo,TGO,GDP (current US$),NY.GDP.MKTP.CD,2020,7486031561.86885
Togo,TGO,GDP (current US$),NY.GDP.MKTP.CD,2019,6992942458.99419
Togo,TGO,GDP (current US$),NY.GDP.MKTP.CD,2018,7029215766.46367
Togo,TGO,GDP (current US$),NY.GDP.MKTP.CD,2017,6387424239.8801
Togo,TGO,GDP (current US$),NY.GDP.MKTP.CD,2016,6071167584.1951
Togo,TGO,GDP (current US$),NY.GDP.MKTP.CD,2015,5755457836.01866
Togo,TGO,GDP (current US$),NY.GDP.MKTP.CD,2014,6393314707.85456
Togo,TGO,GDP (current US$),NY.GDP.MKTP.CD,2013,6021729629.82454
Togo,TGO,GDP (current US$),NY.GDP.MKTP.CD,2012,5413541649.14901
Togo,TGO,GDP (current US$),NY.GDP.MKTP.CD,2011,5422439152.10906
Togo,TGO,GDP (current US$),NY.GDP.MKTP.CD,2010,4746386893.22553
Togo,TGO,GDP (current US$),NY.GDP.MKTP.CD,2009,4721888275.26937
Togo,TGO,GDP (current US$),NY.GDP.MKTP.CD,2008,4578847112.70688
Togo,TGO,GDP (current US$),NY.GDP.MKTP.CD,2007,3759962853.26476
Togo,TGO,GDP (current US$),NY.GDP.MKTP.CD,2006,3320907721.74508
Togo,TGO,GDP (current US$),NY.GDP.MKTP.CD,2005,3221910408.46516
Togo,TGO,GDP (current US$),NY.GDP.MKTP.CD,2004,3191561508.69088
Togo,TGO,GDP (current US$),NY.GDP.MKTP.CD,2003,2987984050.99318
Togo,TGO,GDP (current US$),NY.GDP.MKTP.CD,2002,2410199032.43102
Togo,TGO,GDP (current US$),NY.GDP.MKTP.CD,2001,2093498674.49678
Togo,TGO,GDP (current US$),NY.GDP.MKTP.CD,2000,2106848752.27753
