country,country_code,indicator,indicator_code,year,value
Togo,TGO,GDP,NY.GDP.MKTP.CD,2025,11889949067.4697
Togo,TGO,GDP,NY.GDP.MKTP.CD,2024,10643440332.2445
Togo,TGO,GDP,NY.GDP.MKTP.CD,2023,9723300576.72675
Togo,TGO,GDP,NY.GDP.MKTP.CD,2022,8646453099.4124
Togo,TGO,GDP,NY.GDP.MKTP.CD,2021,8541668141.26198
Togo,TGO,GDP,NY.GDP.MKTP.CD,2020,7486031561.86885
Togo,TGO,GDP,NY.GDP.MKTP.CD,2019,6992942458.99419
Togo,TGO,GDP,NY.GDP.MKTP.CD,2018,7029215766.46367
Togo,TGO,GDP,NY.GDP.MKTP.CD,2017,6387424239.8801
Togo,TGO,GDP,NY.GDP.MKTP.CD,2016,6071167584.1951
Togo,TGO,GDP,NY.GDP.MKTP.CD,2015,5755457836.01866
Togo,TGO,GDP,NY.GDP.MKTP.CD,2014,6393314707.85456
Togo,TGO,GDP,NY.GDP.MKTP.CD,2013,6021729629.82454
Togo,TGO,GDP,NY.GDP.MKTP.CD,2012,5413541649.14901
Togo,TGO,GDP,NY.GDP.MKTP.CD,2011,5422439152.10906
Togo,TGO,GDP,NY.GDP.MKTP.CD,2010,4746386893.22553
Togo,TGO,GDP,NY.GDP.MKTP.CD,2009,4721888275.26937
Togo,TGO,GDP,NY.GDP.MKTP.CD,2008,4578847112.70688
Togo,TGO,GDP,NY.GDP.MKTP.CD,2007,3759962853.26476
Togo,TGO,GDP,NY.GDP.MKTP.CD,2006,3320907721.74508
Togo,TGO,GDP,NY.GDP.MKTP.CD,2005,3221910408.46516
Togo,TGO,GDP,NY.GDP.MKTP.CD,2004,3191561508.69088
Togo,TGO,GDP,NY.GDP.MKTP.CD,2003,2987984050.99318
Togo,TGO,GDP,NY.GDP.MKTP.CD,2002,2410199032.43102
Togo,TGO,GDP,NY.GDP.MKTP.CD,2001,2093498674.49678
Togo,TGO,GDP,NY.GDP.MKTP.CD,2000,2106848752.27753
Togo,TGO,GDP per capita,NY.GDP.PCAP.CD,2025,1383.89974929887
Togo,TGO,GDP per capita,NY.GDP.PCAP.CD,2024,1266.08777721447
Togo,TGO,GDP per capita,NY.GDP.PCAP.CD,2023,1182.32951436696
Togo,TGO,GDP per capita,NY.GDP.PCAP.CD,2022,1071.61539220759
Togo,TGO,GDP per capita,NY.GDP.PCAP.CD,2021,1076.29520076949
Togo,TGO,GDP per capita,NY.GDP.PCAP.CD,2020,961.219781201934
Togo,TGO,GDP per capita,NY.GDP.PCAP.CD,2019,917.718016777619
Togo,TGO,GDP per capita,NY.GDP.PCAP.CD,2018,942.480774393154
Togo,TGO,GDP per capita,NY.GDP.PCAP.CD,2017,872.076408845752
Togo,TGO,GDP per capita,NY.GDP.PCAP.CD,2016,843.114204338675
Togo,TGO,GDP per capita,NY.GDP.PCAP.CD,2015,813.894676975085
Togo,TGO,GDP per capita,NY.GDP.PCAP.CD,2014,921.539748631461
Togo,TGO,GDP per capita,NY.GDP.PCAP.CD,2013,885.698522723929
Togo,TGO,GDP per capita,NY.GDP.PCAP.CD,2012,813.611525037432
Togo,TGO,GDP per capita,NY.GDP.PCAP.CD,2011,834.14671980279
Togo,TGO,GDP per capita,NY.GDP.PCAP.CD,2010,750.323421086121
Togo,TGO,GDP per capita,NY.GDP.PCAP.CD,2009,770.172869777254
Togo,TGO,GDP per capita,NY.GDP.PCAP.CD,2008,771.351190404751
Togo,TGO,GDP per capita,NY.GDP.PCAP.CD,2007,654.083697666439
Togo,TGO,GDP per capita,NY.GDP.PCAP.CD,2006,596.249203137762
Togo,TGO,GDP per capita,NY.GDP.PCAP.CD,2005,595.200212014134
Togo,TGO,GDP per capita,NY.GDP.PCAP.CD,2004,604.311329116751
Togo,TGO,GDP per capita,NY.GDP.PCAP.CD,2003,579.728195854724
Togo,TGO,GDP per capita,NY.GDP.PCAP.CD,2002,479.438373869587
Togo,TGO,GDP per capita,NY.GDP.PCAP.CD,2001,426.883605884489
Togo,TGO,GDP per capita,NY.GDP.PCAP.CD,2000,440.420399069497
Togo,TGO,Population,SP.POP.TOTL,2025,8591626.0
Togo,TGO,Population,SP.POP.TOTL,2024,8406558.0
Togo,TGO,Population,SP.POP.TOTL,2023,8223850.0
Togo,TGO,Population,SP.POP.TOTL,2022,8068616.0
Togo,TGO,Population,SP.POP.TOTL,2021,7936176.0
Togo,TGO,Population,SP.POP.TOTL,2020,7788054.0
Togo,TGO,Population,SP.POP.TOTL,2019,7619925.0
Togo,TGO,Population,SP.POP.TOTL,2018,7458206.0
Togo,TGO,Population,SP.POP.TOTL,2017,7324386.0
Togo,TGO,Population,SP.POP.TOTL,2016,7200884.0
Togo,TGO,Population,SP.POP.TOTL,2015,7071502.0
Togo,TGO,Population,SP.POP.TOTL,2014,6937644.0
Togo,TGO,Population,SP.POP.TOTL,2013,6798848.0
Togo,TGO,Population,SP.POP.TOTL,2012,6653718.0
Togo,TGO,Population,SP.POP.TOTL,2011,6500582.0
Togo,TGO,Population,SP.POP.TOTL,2010,6325788.0
Togo,TGO,Population,SP.POP.TOTL,2009,6130946.0
Togo,TGO,Population,SP.POP.TOTL,2008,5936138.0
Togo,TGO,Population,SP.POP.TOTL,2007,5748443.0
Togo,TGO,Population,SP.POP.TOTL,2006,5569664.0
Togo,TGO,Population,SP.POP.TOTL,2005,5413154.0
Togo,TGO,Population,SP.POP.TOTL,2004,5281320.0
Togo,TGO,Population,SP.POP.TOTL,2003,5154112.0
Togo,TGO,Population,SP.POP.TOTL,2002,5027130.0
Togo,TGO,Population,SP.POP.TOTL,2001,4904144.0
Togo,TGO,Population,SP.POP.TOTL,2000,4783722.0
Togo,TGO,Agriculture value added (% GDP),NV.AGR.TOTL.ZS,2025,20.3258949863422
Togo,TGO,Agriculture value added (% GDP),NV.AGR.TOTL.ZS,2024,21.344334944837
Togo,TGO,Agriculture value added (% GDP),NV.AGR.TOTL.ZS,2023,20.7728226848382
Togo,TGO,Agriculture value added (% GDP),NV.AGR.TOTL.ZS,2022,21.2198485197121
Togo,TGO,Agriculture value added (% GDP),NV.AGR.TOTL.ZS,2021,20.550806619999
Togo,TGO,Agriculture value added (% GDP),NV.AGR.TOTL.ZS,2020,19.1736551821772
Togo,TGO,Agriculture value added (% GDP),NV.AGR.TOTL.ZS,2019,19.5287220037284
Togo,TGO,Agriculture value added (% GDP),NV.AGR.TOTL.ZS,2018,19.6494784155019
Togo,TGO,Agriculture value added (% GDP),NV.AGR.TOTL.ZS,2017,20.3155597844213
